timestamp_ms,equity,balance,position_qty,position_entry_price,unrealized_pnl,realized_pnl,fees_paid,drawdown_pct,snapshot_version,global_halted
1609459200000,10000,10000,0,0,0,0,0,0,1,False
1609459260000,10000,10000,0,0,0,0,0,0,2,False
1609459320000,10000,10000,0,0,0,0,0,0,3,False
1609459380000,10000,10000,0,0,0,0,0,0,4,False
1609459440000,10000,10000,0,0,0,0,0,0,5,False
1609459500000,10000,10000,0,0,0,0,0,0,6,False
1609459560000,10000,10000,0,0,0,0,0,0,7,False
1609459620000,10000,10000,0,0,0,0,0,0,8,False
1609459680000,10000,10000,0,0,0,0,0,0,9,False
1609459740000,10000,10000,0,0,0,0,0,0,10,False
1609459800000,10000,10000,0,0,0,0,0,0,11,False
1609459860000,10000,10000,0,0,0,0,0,0,12,False
1609459920000,10000,10000,0,0,0,0,0,0,13,False
1609459980000,10000,10000,0,0,0,0,0,0,14,False
1609460040000,10000,10000,0,0,0,0,0,0,15,False
1609460100000,10000,10000,0,0,0,0,0,0,16,False
1609460160000,10000,10000,0,0,0,0,0,0,17,False
1609460220000,10000,10000,0,0,0,0,0,0,18,False
1609460280000,10000,10000,0,0,0,0,0,0,19,False
1609460340000,10000,10000,0,0,0,0,0,0,20,False
1609460400000,10000,10000,0,0,0,0,0,0,21,False
1609460460000,10000,10000,0,0,0,0,0,0,22,False
1609460520000,10000,10000,0,0,0,0,0,0,23,False
1609460580000,10000,10000,0,0,0,0,0,0,24,False
1609460640000,10000,10000,0,0,0,0,0,0,25,False
1609460700000,10000,10000,0,0,0,0,0,0,26,False
1609460760000,10000,10000,0,0,0,0,0,0,27,False
1609460820000,10000,10000,0,0,0,0,0,0,28,False
1609460880000,10000,10000,0,0,0,0,0,0,29,False
1609460940000,10000,10000,0,0,0,0,0,0,30,False
1609461000000,10003.10047598382687,530.383393,0.187,50639.66,9472.71708298382687,0,0,0,31,False
1609461060000,10000.59847884172637,530.383393,0.187,50639.66,9470.21508584172637,0,0,0.0002501221644336650626162586834,32,False
1609461120000,9995.58218771577576,530.383393,0.187,50639.66,9465.19879471577576,0,0,0.0007515957963335032741624093302,33,False
1609461180000,10002.02033237051569,530.383393,0.187,50639.66,9471.63693937051569,0,0,0.0001079808821179460867832642789,34,False
1609461240000,9988.84664688823408,530.383393,0.187,50639.66,9458.46325388823408,0,0,0.001424941109990289750420999096,35,False
1609461300000,9989.724641778866478,530.383393,0.187,50639.66,9459.341248778866478,0,0,0.001337168834510267115044869718,36,False
1609461360000,9992.2462484210684,530.383393,0.187,50639.66,9461.8628554210684,0,0,0.001085086327865854302975592453,37,False
1609461420000,9985.35327903311331,530.383393,0.187,50639.66,9454.96988603311331,0,0,0.001774169618042158499645829827,38,False
1609461480000,9986.68246644014354,530.383393,0.187,50639.66,9456.29907344014354,0,0,0.001641292075702017054307982597,39,False
