entry_ts,side,qty,price,fee,exit_ts,exit_price,pnl
1700001740000,BUY,0.187,50610.66437036393,9.46419423725805491,1700002700000,50349.21070232731,-67.77133256144120188
1700005280000,BUY,0.188,50090.43201447695,9.41700121872166660,1700008760000,50854.772702709124,124.718350900817730088
1700011340000,BUY,0.188,50648.06322174633,9.52183588568831004,1700014700000,51348.41606436678,112.49099630685533532
1700017280000,BUY,0.188,51143.370366155774,9.614953628837285512,1700020760000,51873.22130177029,117.844856661958907968
1700023280000,BUY,0.189,51613.227429255174,9.754899984129227886,1700026700000,52332.26451883556,116.252311952503805274
1700029280000,BUY,0.189,52125.04132272884,9.85163280999575076,1700032700000,52856.27609509711,118.36190298563392545
1700035280000,BUY,0.189,52627.524135362924,9.946602061583592636,1700038700000,53333.13376825194,113.333656272240814704
1700041340000,BUY,0.190,53134.788469115745,10.095609809131991550,1700044700000,53840.72455650866,113.802509129785213050
1700047280000,BUY,0.190,53579.015805087394,10.180013002966604860,1700050700000,54347.13357106896,125.436407155027832740
1700053280000,BUY,0.191,54075.24720061386,10.32837221531724726,1700056700000,54846.60297814958,126.52488012517870296
1700059280000,BUY,0.191,54563.73004280129,10.42167243817504639,1700059940000,54927.8123176297,48.62682990138399091
